,Date,Close,Volume,Ticker
69102,2020-01-02,9.420000076293944,43425700.0,F
69103,2020-01-03,9.210000038146973,45040800.0,F
69104,2020-01-06,9.15999984741211,43372300.0,F
69105,2020-01-07,9.25,44984100.0,F
69106,2020-01-08,9.25,45994900.0,F
69107,2020-01-09,9.260000228881836,51817400.0,F
69108,2020-01-10,9.25,39796300.0,F
69109,2020-01-13,9.239999771118164,48553700.0,F
69110,2020-01-14,9.289999961853027,42935600.0,F
69111,2020-01-15,9.1899995803833,55923900.0,F
69112,2020-01-16,9.170000076293944,44310400.0,F
69113,2020-01-17,9.15999984741211,41644900.0,F
69114,2020-01-21,9.210000038146973,49556400.0,F
69115,2020-01-22,9.15999984741211,39914800.0,F
69116,2020-01-23,9.140000343322754,75848700.0,F
69117,2020-01-24,9.0,68100900.0,F
69118,2020-01-27,8.890000343322754,60769300.0,F
69119,2020-01-28,8.970000267028809,85163400.0,F
69120,2020-01-29,8.859999656677246,59057400.0,F
69121,2020-01-30,8.84000015258789,42827800.0,F
69122,2020-01-31,8.819999694824219,59813700.0,F
69123,2020-02-03,8.979999542236328,71405400.0,F
69124,2020-02-04,9.18000030517578,86196400.0,F
69125,2020-02-05,8.310000419616701,145792500.0,F
69126,2020-02-06,8.25,68823400.0,F
69127,2020-02-07,8.109999656677246,98256500.0,F
69128,2020-02-10,8.060000419616701,71834900.0,F
69129,2020-02-11,8.100000381469728,80164500.0,F
69130,2020-02-12,8.239999771118164,111536800.0,F
69131,2020-02-13,8.25,67648800.0,F
69132,2020-02-14,8.100000381469728,46359700.0,F
69133,2020-02-18,8.060000419616701,65094800.0,F
69134,2020-02-19,8.0,69668200.0,F
69135,2020-02-20,8.029999732971191,52318200.0,F
69136,2020-02-21,7.889999866485597,58326300.0,F
69137,2020-02-24,7.570000171661378,110048200.0,F
69138,2020-02-25,7.230000019073486,108888300.0,F
69139,2020-02-26,7.210000038146973,92469500.0,F
69140,2020-02-27,6.96999979019165,118642400.0,F
69141,2020-02-28,6.960000038146973,116490700.0,F
69142,2020-03-02,7.199999809265138,96766000.0,F
69143,2020-03-03,6.96999979019165,97457800.0,F
69144,2020-03-04,7.079999923706055,70588100.0,F
69145,2020-03-05,6.739999771118164,78070900.0,F
69146,2020-03-06,6.489999771118164,109932200.0,F
69147,2020-03-09,5.9000000953674325,103901700.0,F
69148,2020-03-10,6.260000228881836,101873600.0,F
69149,2020-03-11,5.9000000953674325,98587100.0,F
69150,2020-03-12,5.349999904632568,89453100.0,F
69151,2020-03-13,5.630000114440918,125375300.0,F
69152,2020-03-16,5.010000228881836,110310900.0,F
69153,2020-03-17,5.010000228881836,104233500.0,F
69154,2020-03-18,4.5,125954700.0,F
69155,2020-03-19,4.46999979019165,126603800.0,F
69156,2020-03-20,4.329999923706056,129378600.0,F
69157,2020-03-23,4.010000228881837,134925000.0,F
69158,2020-03-24,4.949999809265137,146192100.0,F
69159,2020-03-25,5.389999866485597,198999400.0,F
